COUNTRY,Country_1,PAYP,Pay_period,TIME,Time_1,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
PRT,Portugal,M,Monthly,2020,2020,EUR,Euro,0,Units,null,null,740.8,null,null,null
PRT,Portugal,M,Monthly,2021,2021,EUR,Euro,0,Units,null,null,775.83,null,null,null
PRT,Portugal,M,Monthly,2022,2022,EUR,Euro,0,Units,null,null,822.5,null,null,null
NLD,Netherlands,A,Annual,1995,1995,EUR,Euro,0,Units,null,null,12721,null,null,null
NLD,Netherlands,A,Annual,1996,1996,EUR,Euro,0,Units,null,null,12902,null,null,null
NLD,Netherlands,A,Annual,1997,1997,EUR,Euro,0,Units,null,null,13127,null,null,null
NLD,Netherlands,A,Annual,1998,1998,EUR,Euro,0,Units,null,null,13477,null,null,null
NLD,Netherlands,A,Annual,1999,1999,EUR,Euro,0,Units,null,null,13883,null,null,null
NLD,Netherlands,A,Annual,2000,2000,EUR,Euro,0,Units,null,null,14272,null,null,null
NLD,Netherlands,A,Annual,2001,2001,EUR,Euro,0,Units,null,null,15130,null,null,null
NLD,Netherlands,A,Annual,2002,2002,EUR,Euro,0,Units,null,null,15799,null,null,null
NLD,Netherlands,A,Annual,2003,2003,EUR,Euro,0,Units,null,null,16291,null,null,null
NLD,Netherlands,A,Annual,2004,2004,EUR,Euro,0,Units,null,null,16392,null,null,null
NLD,Netherlands,A,Annual,2005,2005,EUR,Euro,0,Units,null,null,16392,null,null,null
NLD,Netherlands,A,Annual,2006,2006,EUR,Euro,0,Units,null,null,16570,null,null,null
NLD,Netherlands,A,Annual,2007,2007,EUR,Euro,0,Units,null,null,16964,null,null,null
NLD,Netherlands,A,Annual,2008,2008,EUR,Euro,0,Units,null,null,17442,null,null,null
NLD,Netherlands,A,Annual,2009,2009,EUR,Euro,0,Units,null,null,18013,null,null,null
NLD,Netherlands,A,Annual,2010,2010,EUR,Euro,0,Units,null,null,18297,null,null,null
NLD,Netherlands,A,Annual,2011,2011,EUR,Euro,0,Units,null,null,18427,null,null,null
NLD,Netherlands,A,Annual,2012,2012,EUR,Euro,0,Units,null,null,18810,null,null,null
NLD,Netherlands,A,Annual,2013,2013,EUR,Euro,0,Units,null,null,19044,null,null,null
NLD,Netherlands,A,Annual,2014,2014,EUR,Euro,0,Units,null,null,19316,null,null,null
NLD,Netherlands,A,Annual,2015,2015,EUR,Euro,0,Units,null,null,19464,null,null,null
NLD,Netherlands,A,Annual,2016,2016,EUR,Euro,0,Units,null,null,19841,null,null,null
NLD,Netherlands,A,Annual,2017,2017,EUR,Euro,0,Units,null,null,20198,null,null,null
NLD,Netherlands,A,Annual,2018,2018,EUR,Euro,0,Units,null,null,20556,null,null,null
NLD,Netherlands,A,Annual,2019,2019,EUR,Euro,0,Units,null,null,21069,null,null,null
NLD,Netherlands,A,Annual,2020,2020,EUR,Euro,0,Units,null,null,21602,null,null,null
NLD,Netherlands,A,Annual,2021,2021,EUR,Euro,0,Units,null,null,21940,null,null,null
NLD,Netherlands,A,Annual,2022,2022,EUR,Euro,0,Units,null,null,22558,null,null,null
BRA,Brazil,M,Monthly,1995,1995,BRL,Brazilian Real,0,Units,null,null,90,null,null,null
BRA,Brazil,M,Monthly,1996,1996,BRL,Brazilian Real,0,Units,null,null,108,null,null,null
BRA,Brazil,M,Monthly,1997,1997,BRL,Brazilian Real,0,Units,null,null,117.33,null,null,null
BRA,Brazil,M,Monthly,1998,1998,BRL,Brazilian Real,0,Units,null,null,126.67,null,null,null
BRA,Brazil,M,Monthly,1999,1999,BRL,Brazilian Real,0,Units,null,null,134,null,null,null
BRA,Brazil,M,Monthly,2000,2000,BRL,Brazilian Real,0,Units,null,null,147.25,null,null,null
BRA,Brazil,M,Monthly,2001,2001,BRL,Brazilian Real,0,Units,null,null,172.75,null,null,null
BRA,Brazil,M,Monthly,2002,2002,BRL,Brazilian Real,0,Units,null,null,195,null,null,null
BRA,Brazil,M,Monthly,2003,2003,BRL,Brazilian Real,0,Units,null,null,230,null,null,null
BRA,Brazil,M,Monthly,2004,2004,BRL,Brazilian Real,0,Units,null,null,253.33,null,null,null
BRA,Brazil,M,Monthly,2005,2005,BRL,Brazilian Real,0,Units,null,null,286.67,null,null,null
