LOCATION,Country,TRANSACT,Transaction,MEASURE,Measure_1,TIME,Year,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2003,2003,USD,US Dollar,0,Units,null,null,32158.613927,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2004,2004,USD,US Dollar,0,Units,null,null,33785.215142,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2005,2005,USD,US Dollar,0,Units,null,null,35024.557484,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2006,2006,USD,US Dollar,0,Units,null,null,37665.087646,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2007,2007,USD,US Dollar,0,Units,null,null,39441.005483,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2008,2008,USD,US Dollar,0,Units,null,null,41316.022642,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2009,2009,USD,US Dollar,0,Units,null,null,40925.933876,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2010,2010,USD,US Dollar,0,Units,null,null,42013.885754,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2011,2011,USD,US Dollar,0,Units,null,null,44469.209642,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2012,2012,USD,US Dollar,0,Units,null,null,46477.655075,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2013,2013,USD,US Dollar,0,Units,null,null,47936.677963,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2014,2014,USD,US Dollar,0,Units,null,null,48813.534409,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2015,2015,USD,US Dollar,0,Units,null,null,49942.056293,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2016,2016,USD,US Dollar,0,Units,null,null,52665.087457,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2017,2017,USD,US Dollar,0,Units,null,null,54188.360666,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2018,2018,USD,US Dollar,0,Units,null,null,56956.110562,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2019,2019,USD,US Dollar,0,Units,null,null,60590.199652,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2020,2020,USD,US Dollar,0,Units,null,null,58610.931828,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2021,2021,USD,US Dollar,0,Units,null,null,63451.49024,null,null,null
AUT,Austria,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2022,2022,USD,US Dollar,0,Units,null,null,70889.43168,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1995,1995,USD,US Dollar,0,Units,null,null,22431.050901,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1996,1996,USD,US Dollar,0,Units,null,null,22735.940043,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1997,1997,USD,US Dollar,0,Units,null,null,23728.459771,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1998,1998,USD,US Dollar,0,Units,null,null,24368.764691,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1999,1999,USD,US Dollar,0,Units,null,null,25441.891387,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2000,2000,USD,US Dollar,0,Units,null,null,27788.774998,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2001,2001,USD,US Dollar,0,Units,null,null,28795.385684,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2002,2002,USD,US Dollar,0,Units,null,null,30281.667989,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2003,2003,USD,US Dollar,0,Units,null,null,30934.971821,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2004,2004,USD,US Dollar,0,Units,null,null,32064.416426,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2005,2005,USD,US Dollar,0,Units,null,null,33176.680884,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2006,2006,USD,US Dollar,0,Units,null,null,35258.835071,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2007,2007,USD,US Dollar,0,Units,null,null,36798.512351,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2008,2008,USD,US Dollar,0,Units,null,null,37883.233422,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2009,2009,USD,US Dollar,0,Units,null,null,37750.13747,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2010,2010,USD,US Dollar,0,Units,null,null,39831.679233,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2011,2011,USD,US Dollar,0,Units,null,null,40943.343479,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2012,2012,USD,US Dollar,0,Units,null,null,42290.477674,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2013,2013,USD,US Dollar,0,Units,null,null,43672.712292,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2014,2014,USD,US Dollar,0,Units,null,null,44929.933328,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2015,2015,USD,US Dollar,0,Units,null,null,46201.685891,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2016,2016,USD,US Dollar,0,Units,null,null,48599.202676,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2017,2017,USD,US Dollar,0,Units,null,null,50442.947518,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2018,2018,USD,US Dollar,0,Units,null,null,52530.84151,null,null,null
